"","X12_13_02_U133A_Mer_Latin_Square_Expt6_R1","X12_13_02_U133A_Mer_Latin_Square_Expt6_R2","X12_13_02_U133A_Mer_Latin_Square_Expt6_R3","X12_13_02_U133A_Mer_Latin_Square_Expt7_R1","X12_13_02_U133A_Mer_Latin_Square_Expt7_R2","X12_13_02_U133A_Mer_Latin_Square_Expt7_R3"
"200060_s_at",3053.84993218411,3551.67917929673,2734.17858310647,3158.99045143875,2892.68409957545,3512.32920513216
"200061_s_at",17043.8441525066,18954.3926006571,16858.5956751997,16803.616345098,18599.9184845831,16387.3408109112
"200062_s_at",18097.8054658083,20401.6508187403,18149.5007828948,18289.9712262892,18050.1106897823,19647.9728404627
"200063_s_at",16123.168031095,16091.338079925,14489.1912619133,15830.5890341163,16706.5883844776,15622.31556851
"200064_at",13729.4431996786,15281.2550748601,13213.2122132177,12307.8073396969,15262.6559945904,12973.1898260952
"200065_s_at",7225.18604369969,6819.33714920936,7111.55090436727,6706.45720673607,6792.59777977568,6588.22886428009
"200066_at",1750.00865032263,1712.86696420357,1651.69832405779,1584.60515820263,1596.99387273556,1627.20500794472
"200067_x_at",2968.53344369013,2336.56946967304,2863.3247560377,2746.51664896078,2806.85729199155,2719.79912902242
"200068_s_at",7340.03644183309,7448.38942350401,6925.9594295965,6976.54839458045,7227.95454438145,7082.58673994336
"200069_at",381.328468951099,456.124469284747,370.105322002328,443.045189261161,438.593324251198,505.868038830518
"200070_at",332.990974039119,252.376131991692,355.196294804137,386.998428136796,390.41503021964,279.941225874663
"200071_at",1287.22801585,1052.87331835127,1284.77947487778,1272.52101483198,1214.29921360508,1131.04283424598
"200072_s_at",4112.97655892793,3756.24226642735,3880.7608922876,3516.29385540021,3356.42551925978,3774.35099706626
"200073_s_at",4846.53183104752,3837.06701069017,4542.3190728852,4558.92701241837,4142.31577070642,4198.62292742249
"200074_s_at",7083.35209547507,6635.60629285425,7066.34444029444,7190.32779725564,7102.90105754249,6350.47860934273
"200075_s_at",2207.1307567842,2213.70290412666,2243.26843382161,2264.49232283524,2214.51437891849,2305.03607393405
"200076_s_at",634.084877083665,709.258667966808,663.812983539431,606.739744610052,618.46290237811,583.517158538646
"200077_s_at",11091.1084424897,12002.5277235242,10874.6781315941,10853.2352145824,11228.4972801246,10748.624109314
"200078_s_at",3709.9286295944,3582.95352587036,3043.47368747657,3516.94448030979,3275.40397180331,3496.9128171974
"200079_s_at",6077.88933730356,6450.7830679036,6190.49073412287,6485.37227507486,6367.59937114956,6248.79276139553
"200080_s_at",10705.4271863112,10324.645900928,9034.49937690308,9079.77612122753,10977.2437560325,9964.54671396794
"200081_s_at",14138.3193766567,12998.0059154331,13042.6976652796,12373.7157275197,12446.4689437127,12129.7826243754
"200082_s_at",13641.3848915147,13088.3191119943,14804.5928441063,13244.3997379002,13378.1704868096,12909.5891061875
"200083_at",1824.85134740597,2257.7892791328,1773.83523983863,2060.58856454708,1996.94286585066,2067.97505882355
"200084_at",4091.36404932909,3905.96964329387,4071.91442030346,4029.11768979772,3891.58677124401,3833.23541202969
"200085_s_at",6103.52922542454,6218.14584215794,5789.26235019229,5701.86574459124,5688.47945491543,5883.42447591453
"200086_s_at",5222.30230725481,5267.15303758151,5420.82240917661,5593.81387618586,6146.09642109133,4926.16141802547
"200087_s_at",6154.08606821724,6608.89767050279,5797.67129701063,6415.62657760832,6244.18989090505,6104.4093682307
"200088_x_at",19141.8642204745,20718.0627668745,17958.6917522678,17886.0572926831,19189.3911425838,18356.3453520054
"200089_s_at",10677.5122010602,10229.7547025132,10021.1752497814,11086.7048397991,10613.7034174587,10253.3973942755
"200090_at",1814.01396554184,2009.39207665413,1945.40626440587,1975.19792606331,1988.64920921013,1867.87777219289
"200091_s_at",6599.17729983835,5311.30468795245,5950.81132161971,6593.9406472603,6124.42070867935,6831.62864473073
"200092_s_at",21819.3442879889,23507.6223306271,19840.0495395474,20647.4628698504,22537.0207207648,20319.7736123447
"200093_s_at",8014.0302815127,7665.95534094835,7588.37569852035,8054.40088199155,7787.76085373429,8044.21892013536
"200094_s_at",4806.50333052477,4652.78709980493,5131.18222140333,4817.52675332655,4997.97584694873,4839.94454736994
"200095_x_at",26223.2337517577,26933.1048769899,28063.7892896304,25937.1634728066,29786.1449628485,25015.5573364575
"200096_s_at",4272.22445303869,4122.84299980985,4469.44914463887,4221.79817942758,4558.19131674407,4094.01401575203
"200097_s_at",3501.45266170714,3746.12772120081,3920.57311165693,3784.92367194363,3970.41281048507,3737.21335828682
"200098_s_at",2645.80351320259,2588.50408753887,2370.83120115986,2672.33732873607,2447.15387663888,2558.1987747454
"200099_s_at",16771.1401051967,17174.4488781592,16413.6330344963,17224.1421675669,17446.4309748458,16446.1849846742
"200593_s_at",3700.68340987501,3949.98673776138,3372.96600035652,3780.95849998978,3358.27573268947,3893.23399293193
"200594_x_at",5963.05123628421,5159.47491196064,5622.14050563669,5445.06081000228,5501.92573170689,5555.97703531116
"200595_s_at",2638.74882458353,2649.24089087342,2336.05046112549,2613.25719330699,2450.55248737477,2765.60755685572
"200596_s_at",933.268086704545,966.691375316649,777.871599478216,940.487882132358,553.395692037214,891.817574034208
"200597_at",223.791830586216,279.147171598142,272.899648029466,296.262304426591,298.779144023636,323.092003749254
"200598_s_at",3249.33808379627,2951.88626969308,3257.72857679871,3161.61224317712,3017.87013681138,2858.84042699253
"200599_s_at",5954.2087157952,5788.85443412798,5265.48507263394,6080.85485712123,6493.6030321034,5868.48766492321
"200600_at",5076.09548969284,5172.27442693067,4949.50270585256,4727.63886765983,4636.00399920096,5104.45967444344
"200601_at",2303.63457647812,3106.56443936007,1941.52479626644,2398.02991895021,2417.3974571705,2396.08215570189
"200602_at",811.097946844282,917.239638991361,893.535127876603,941.17665400126,845.0373207378,1203.0745444198
"200603_at",3136.98757097393,3147.66994994017,2853.93174712928,3127.83925473,3102.13911421126,2896.55650350246
"200604_s_at",1283.88027111687,1267.95818081151,1406.29143799951,1501.66442401586,1450.26371968186,1400.32364993234
"200605_s_at",2366.09348983661,1851.92587914097,2591.32227586986,2289.3204005716,2312.91810966626,2010.65227103768
"200606_at",4655.72881339916,4490.18991479069,4785.46913611269,5057.64417116189,5050.61859261818,4472.079944401
"200607_s_at",2151.47850420331,1996.01774444299,1752.42845432787,1686.67998260773,1542.63773861921,2221.037767466
"200608_s_at",2666.15192549144,2360.49849867018,2993.14110230547,2916.8736832121,2945.71218204204,2697.39519790253
"200609_s_at",2889.16902120241,2961.04189626045,2585.36954769347,2954.86206998233,2740.40077275209,3097.14143640982
"200610_s_at",8737.02406219781,7956.90808112788,8500.57246945593,9058.37167708578,9421.10740054595,8878.91414108277
"200611_s_at",3649.3968986087,3391.15573069988,3638.01844009949,3288.31785145722,3366.1789567913,3383.81561127501
"200612_s_at",1061.35450059172,1326.08073128176,998.425882372532,972.590943073522,941.53767933005,1274.25808657666
"200613_at",2632.87630479448,2415.26185881074,2647.04058890287,2465.89615643593,2529.95775105241,2395.39088501796
"200614_at",7679.34977173335,8253.12447273309,7526.96085058504,7906.05486655209,7779.70345306439,8157.7927178207
"200615_s_at",1201.44002658238,1042.86078871698,1197.44092298974,1112.84427861619,1450.21988508728,1217.75600262152
"200616_s_at",669.125009351855,621.00401508108,651.739215809255,544.967822451963,640.348299498014,512.467745059765
"200617_at",1166.70786163059,1238.84114664553,629.843054188194,1189.33066622764,1141.44871441844,807.891935918304
"200618_at",3094.41097921512,2652.94813110471,2628.5304312642,2775.75704030766,2603.42774819309,2709.40959586855
"200619_at",1251.6673882442,1135.41357896468,1384.24206820537,1230.18557711877,1171.50670337197,1110.81779567403
"200620_at",2985.34355971237,3018.30696380311,3109.77871099993,3037.73942743504,3140.8848715571,2801.51287507586
"200621_at",3232.0536842437,3324.42729689321,3117.62944805337,3027.89768970235,3419.73243643791,3116.40470826949
"200622_x_at",845.102917532634,1022.9428791247,822.008643185562,909.634873750884,885.107152265495,903.602099082631
"200623_s_at",631.362295356791,681.951627724087,613.193455514476,770.966449838451,776.5809387223,685.661779894904
"200624_s_at",3656.46871231582,3484.0285027026,3934.52697990838,3869.72376474215,3976.58045260321,3142.98610302645
"200625_s_at",3582.30867261433,3682.85874766757,3895.8092956286,3823.49902391112,3948.85871122411,3769.4324319674
"200626_s_at",3326.76673472819,2847.96266154217,3264.73153278366,3370.75255891976,3492.6460097752,3134.08627837903
"200627_at",7128.50108568534,6756.87015049379,7665.01261984364,7677.93261450846,7993.70852877162,7189.41384595366
"200628_s_at",1063.0852732846,1129.76696295749,1068.08779746638,893.91084296629,942.006065668789,1037.64394368272
"200629_at",1934.57055727821,1116.47135479952,1423.66446924227,1584.62934776097,1335.13353738974,1120.81079076896
"200630_x_at",8762.05661178271,9378.90067323861,9255.10655472819,8845.99554874386,9088.37234150579,8417.91410924661
"200631_s_at",8009.14263822146,7678.0062998555,7354.04518638003,7538.46029760112,7676.89322041395,8381.21685959713
"200632_s_at",1593.7321537916,1754.79012006283,1578.95712173274,1557.21401214916,1515.62744903285,1442.33406591536
"200633_at",16267.165042249,18096.8503480237,15595.89292735,15493.0737457481,16477.0607892666,16123.3333588241
"200634_at",10251.5838909672,10040.9198958899,9669.42089620716,9634.00516024546,9806.98425022951,9733.58815184357
"200635_s_at",206.245923708964,289.558127436736,184.030307015344,208.825909941848,186.945038386232,299.504950399379
"200636_s_at",588.748061795631,587.615543898263,763.644476813461,556.786271713798,633.794464150303,609.939366684928
"200637_s_at",242.438485808404,185.29110047887,208.606110420515,271.419053116156,196.694074669382,305.088463693128
"200638_s_at",6967.18915422615,7034.27468672887,6940.88096450941,6903.91961298366,7266.4801478032,6535.27253735264
"200639_s_at",4356.11532709497,3734.72560217279,6362.54717167464,5036.93555922258,5077.13904767512,4087.64782287448
"200640_at",5528.5777992248,5666.48743263936,5611.73843624755,5850.69150382087,6062.41795730639,6104.09377469623
"200641_s_at",6741.27434832411,6681.88008250078,6743.99169692722,6595.58125415413,7169.85138276095,6206.69596449373
"200642_at",9378.41669651089,9507.17319372294,9118.78533757091,9238.78328446783,9534.9006355713,9232.70530692957
"200643_at",1023.720140332,791.285896818261,836.603812505116,1072.98784059219,955.438962428433,811.892205200352
"200644_at",2612.1836191202,2780.43283061455,2892.84484883753,2618.94135831552,2737.69298891137,2812.17766795982
"200645_at",4065.38432738398,4255.78822278133,3674.13374330595,3634.38834152294,3657.36136016231,3782.99800314485
"200646_s_at",279.116569065818,261.963408074454,242.742415425924,306.133884014687,265.539542725498,196.671338948386
"200647_x_at",8294.39088342292,9187.51918705547,7990.01250219353,8688.669414789,8860.61918181468,8706.1562794076
"200648_s_at",331.40467251772,272.718808097457,307.68944864334,418.409450775014,383.047295295187,335.751106398688
"200649_at",570.297727761983,532.367824117899,583.672050718833,539.353914788935,566.976463097124,511.699757299503
"200650_s_at",19959.3743444791,21342.642947587,19328.3407417352,18375.807331895,20137.5122166228,19624.2943144294
"200651_at",19401.2017061197,20269.4221096964,17160.2840146839,14959.5239811034,15940.3570364699,17627.359385669
"200652_at",4148.79045385806,4380.89007910353,4143.40645000148,4439.99614641157,3844.06998713727,4205.46016603758
"200653_s_at",1938.65742714166,2070.29284603841,1668.60901222492,1916.76069982015,1654.52335074204,2088.45330274835
"200654_at",6553.37511616888,6659.74842569161,6170.80189190859,6127.77711188459,5866.19727681811,6293.3948020027
"200655_s_at",3045.08215209634,2958.42316190362,2962.8603681833,3040.22169039234,2597.88173494259,3072.53981340478
"200656_s_at",3525.27161126518,3165.43565227071,3702.76354018089,3409.88198880516,3203.68042976684,3668.56673448369
"200657_at",10989.9174524968,11373.8380120616,12340.7761507756,11919.6688289221,12345.3994898216,11102.0009266031
"200658_s_at",3767.79205776591,3504.07029265638,3812.85512522744,3611.27497631538,3261.98964403554,3721.22531486462
"200659_s_at",583.441163359455,596.508274186261,584.36355518711,699.223487001502,589.079110479324,533.413895027562
"200660_at",5072.74305335192,5239.74538044112,6097.56621163874,5230.56463688499,5489.74108307603,5060.4686811285
"200661_at",1365.28948302524,1414.34223514309,1267.12856363228,1128.82933424938,1304.88151471449,1316.64300787578
"200662_s_at",4121.42627482794,4007.45653021896,3888.85479204071,4199.61995461756,4063.96033240982,4011.14439923163
"200663_at",9780.17445776019,9599.17763171127,9668.88879218028,9948.37614962209,10206.7004882776,9252.99875164671
"200664_s_at",1026.30027189069,1125.19660728464,1024.28281125641,986.812290049127,1046.97804527028,1105.8459414655
"200665_s_at",14012.8535505492,13504.1778273237,12774.9365115667,19104.9109694735,20849.815282602,18867.9139793069
"200666_s_at",1441.22398077186,1431.55754336725,1530.18693683919,1523.05097489811,1506.10544390363,1478.42579547087
"200667_at",863.121417786295,1092.68631745777,846.343001834047,858.10279288837,907.073904902798,879.380358560452
"200668_s_at",3289.61174540637,2691.28975545121,3720.23496450785,3447.23836811886,3485.64228044105,2996.68742452766
"200669_s_at",2206.62126398772,2271.62516744226,2366.90506408592,2357.10433480628,2206.26358876718,2087.50088574444
"200670_at",1138.15010569124,1009.72326513676,1166.8416530726,1078.92118617805,1000.59593362268,1021.01854221943
"200671_s_at",324.760747470261,255.85804377031,476.792551118935,294.821485826052,434.230624367961,316.126742478817
"200672_x_at",600.276575504575,894.892874170337,627.249342953094,1180.84005356749,919.122504718015,1088.02226641401
"200673_at",7156.81702759788,7140.20513305424,7170.29062920732,7395.65040756585,6638.37240865104,7044.63017802458
"200674_s_at",17466.095443713,19017.7090441989,16859.3937028675,15696.8515813936,17774.6448097299,17376.470583849
"200675_at",2643.84757316563,2311.37162470817,2543.97587090585,2631.08303920966,2711.4696549587,2616.06506853323
"200676_s_at",391.711906679045,363.171836904535,378.555140755156,354.962470486085,330.912413885504,393.970367976059
"200677_at",2400.13085294059,2563.83848915806,2758.0766244934,2667.73810788771,2675.15840011599,2439.52769009641
"200678_x_at",1751.92381279935,1438.9051956227,1171.92409394414,1445.86687089537,1425.11448988963,1456.15067712449
"200679_x_at",4878.42713328346,4626.90782185988,4698.66730649668,4661.52397111956,4373.50859585003,4754.86451355968
"200680_x_at",12687.6361699838,15552.2860826796,12421.7402033525,12856.0255892007,14589.8089367774,14044.8643117453
"200681_at",5522.22758023481,5447.3680628827,5788.88933072085,5240.88632496139,5669.39991626203,5391.11377316925
"200682_s_at",3365.01462783762,3866.73916516328,3306.89274242736,3423.91757759303,3592.2185885869,3353.01453666205
"200683_s_at",1153.01186403082,1083.91668278355,1034.63188972465,1012.32465846912,997.37060172968,1065.72292958845
"200684_s_at",634.461108033015,553.116026315131,779.955551966415,680.565861729524,686.646761331926,469.904339322154
"200685_at",128.3107292813,104.743681457206,128.934605869302,166.555130472759,149.61145056088,171.687406933557
"200686_s_at",1580.19228428216,1470.94793989682,1775.21675410412,2188.8303832411,2085.29074225513,1772.72054789367
"200687_s_at",1623.44599187428,1663.8915499644,1713.73810884394,1730.11789743241,1704.57627127772,1393.12037523727
"200688_at",209.992705326259,165.974432584148,206.467831634245,174.003576655583,157.174113838261,147.476477145651
"200689_x_at",12921.1970450068,11743.2081160586,14185.5395852227,11627.4268003944,12111.6296682253,10405.0543795103
"200690_at",530.311123153733,524.005971160072,556.013794962511,728.523514219019,822.837490866216,772.045800114816
"200691_s_at",5215.74453069657,5369.160755363,5230.04207555676,5277.17581215683,5259.24076844684,5437.72746305004
"200692_s_at",3152.5922815731,2922.93148771199,3106.04088037157,3020.23930745617,2977.49718654612,3074.31955362161
"200693_at",10797.8861996901,11267.6668767544,10480.1968724873,11195.1244060161,11186.1041449963,10480.3424920307
"200694_s_at",1290.658474434,1312.31888025566,1305.87102872678,1174.10528499342,1183.112294739,1206.752166279
"200695_at",1737.68859681723,1869.80411613084,1684.12210960293,1679.30639975785,1676.74798734576,1857.49177931012
"200696_s_at",3096.667291023,3482.63737725309,2797.96111341741,2682.16107578314,2859.32705481348,3027.72032827053
"200697_at",1140.077330526,1257.92537744882,1143.60188885527,1177.48260509406,1069.65098899794,892.41889640678
"200698_at",5642.35256728307,5462.90247478507,5648.59015910534,5691.29931183404,5513.16235341529,5416.11527223035
"200699_at",3586.30347171153,3952.72589715754,3682.59916220801,3590.9886980361,3677.10430055169,3268.01141631952
"200700_s_at",7212.2157794702,6701.66725572536,6962.70719793214,6687.13831554645,6529.36101567964,7395.05193544621
"200701_at",1570.00521046238,1626.94654083575,1629.98965013583,1525.62594906691,1439.56087126301,1667.2099900267
"200702_s_at",267.658413647816,245.227741750439,244.676157568721,292.427352519952,254.807762992747,302.229829143012
"200703_at",9643.88935617518,9646.57904209216,9804.4427190513,9670.32344375973,10438.275649501,8494.4348820562
"200704_at",1460.05179425194,2032.17891086887,1596.8728039617,1564.7579929284,1434.20390883453,2146.01105265469
"200705_s_at",9888.52422757512,11483.0447497582,10241.8978580641,10632.1645973499,11453.3093550097,10080.9521818476
"200706_s_at",2306.28076232727,2313.39410313628,2106.40805078639,1879.69489258667,1643.22381610892,2155.52033375164
"200707_at",871.752668692307,904.79053204379,821.031426553377,707.69079096274,723.760949770345,742.804093439566
"200708_at",2583.15081534581,2626.07105678795,2558.10340414228,2573.92374616764,2543.50479217821,2575.75597883172
"200709_at",3368.32363098925,3535.30425071438,3141.19376004763,2947.00677333337,2881.71009002475,2880.5620929482
"200710_at",1216.0116683492,1464.61413831906,1321.89303987187,1330.37326627574,1304.14280649439,1425.8859505102
"200711_s_at",2594.95092214157,2522.98384257259,2276.92867383202,2484.52817484686,2227.11931812987,2605.50949478163
"200712_s_at",1678.65024118872,1840.90554959963,1899.21985082454,1912.15854988941,1794.51876534705,1916.36228829222
"200713_s_at",4766.76044417566,5910.61495275216,4933.12088912622,5144.911675334,4870.47662068101,4834.92303637594
"200714_x_at",1371.25881551442,1426.4757019539,1275.75493384202,1652.08118013006,1883.97764023386,1527.70249383978
"200715_x_at",6992.23605770864,7065.74077756227,6388.21303779561,6633.62847662346,6671.7973854123,7521.89632770268
"200716_x_at",19714.1106802199,18419.813125202,18374.1776689566,16179.9067028328,18052.0567637689,16918.2644336169
"200717_x_at",25097.7623237461,28392.9669260645,22498.3795847128,24276.5851062609,25914.3788147863,24634.6047927882
"200718_s_at",14230.7465966892,14106.1418091084,11220.4194764698,13666.4355533881,14140.177538943,14026.6412500714
"200719_at",475.446917621478,414.454005565329,491.725230211528,503.659296960026,515.633181611366,508.073978329626
"200720_s_at",979.659711732525,862.187559374986,868.791830543347,869.346171477002,831.785482097453,888.510993354436
"200721_s_at",727.945078158378,580.080214437129,680.163595211612,696.868427443388,729.304091361269,570.659531677034
"200722_s_at",2649.91280314067,2966.76194045829,2615.54852318205,2890.29509983376,2756.25920438969,3188.08647608669
"200723_s_at",6356.61472317417,6613.87351685912,6165.08187597619,6339.27061539575,6197.14076264401,6417.30008240063
"200724_at",191.197774635638,210.551477750209,164.067483454013,120.815795735828,181.518724067746,118.414598766763
"200725_x_at",12184.2835423417,12738.8908152733,11506.5653695164,10865.7614330313,12337.8410815759,11418.9701043696
